bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,area,price
4,2,3,1,0,0,0,1,2,1,2,8.911934336161426,16.40327459319198
4,4,4,1,0,0,0,1,3,0,2,9.100525505968976,16.32103649495501
3,2,2,1,0,1,0,0,2,1,1,9.206332350578643,16.32103649495501
4,2,2,1,0,1,0,1,3,1,2,8.922658299524402,16.31817526267398
4,1,2,1,1,1,0,1,2,0,2,8.911934336161426,16.25000072183826
3,3,1,1,0,1,0,1,2,1,1,8.922658299524402,16.199675637950744
4,3,4,1,0,0,0,1,2,1,1,9.057189192482008,16.13298426345207
5,3,2,1,0,0,0,0,0,0,0,9.692766521220475,16.13298426345207
4,1,2,1,1,1,0,1,2,1,2,8.99961934066053,16.105010411409665
3,2,4,1,1,0,0,1,1,1,0,8.656955133791396,16.0978929436408
3,1,2,1,0,1,0,1,2,1,2,9.487972108574462,16.0978929436408
4,3,2,1,1,1,1,0,2,0,1,8.699514748210191,16.08567575970221
4,2,2,1,0,0,0,1,1,1,1,8.787220328629298,16.04659964925325
4,2,2,1,0,0,1,0,2,0,2,8.160518247477505,16.039052443617866
3,2,2,1,0,0,0,0,0,1,1,8.961879012677683,16.039052443617866
4,1,2,1,0,1,0,0,2,0,1,8.699514748210191,16.02378497148708
4,2,2,1,1,1,0,1,1,1,0,8.794824928014517,16.02378497148708
3,2,4,1,0,0,0,1,2,0,2,9.047821442478408,16.008280784951115
3,2,2,1,1,0,0,1,2,0,2,8.433811582477187,16.00043760749009
3,2,2,1,0,0,0,1,1,1,1,8.767173396684006,15.99649282919907
3,1,2,1,0,1,1,0,2,0,1,8.371010681238156,15.984564258333798
3,2,1,1,1,1,0,1,2,0,0,8.875566691990551,15.976532086636533
3,1,1,1,1,1,0,1,1,0,2,8.99342737041261,15.972491677099528
3,2,2,1,1,1,0,1,1,0,2,8.425077902508432,15.972491677099528
3,2,2,1,0,0,0,1,2,0,2,9.082507000466299,15.964361551016278
4,2,2,1,1,1,0,1,2,1,2,8.785692444451245,15.960271565764753
3,2,4,1,1,1,0,1,0,1,1,8.699514748210191,15.951214278652243
3,1,1,1,0,0,0,0,1,0,1,9.090993614343617,15.943742263813542
5,2,2,1,0,1,1,0,2,0,0,8.980927207648378,15.943742263813542
4,2,2,1,0,1,0,1,1,1,1,8.612503371220562,15.943742263813542
3,2,4,1,0,0,0,1,2,0,0,8.919319398258887,15.943742263813542
3,1,4,1,0,0,0,1,2,0,1,8.85366542803745,15.943742263813542
4,2,2,1,0,0,0,1,1,1,2,8.492900498847193,15.931163481606681
3,3,2,1,1,1,0,0,1,0,0,8.692825760059396,15.918424455829252
5,1,2,1,1,1,0,1,1,0,2,8.830543010616596,15.90984071213786
3,2,4,1,0,0,0,1,2,0,2,8.85366542803745,15.90501876036436
3,2,3,1,0,0,1,0,1,1,2,8.920255414908091,15.900312705886206
4,2,4,1,0,0,0,1,2,0,2,9.104979856318357,15.892448969425992
3,1,4,1,1,0,0,1,2,0,0,8.699514748210191,15.890253578862556
4,2,4,1,0,0,0,1,1,0,1,8.699514748210191,15.883638339743836
3,1,2,1,0,1,0,1,0,1,2,8.787220328629298,15.879203742675971
3,2,4,1,0,0,0,1,0,1,2,8.757783656334167,15.87474939232659
3,2,4,1,0,0,0,1,2,0,0,8.776475789346321,15.856730886823913
4,2,4,1,0,0,0,0,2,0,1,8.699514748210191,15.856730886823913
4,2,4,1,0,0,0,1,1,0,2,8.699514748210191,15.838381748155715
